window_cell,direction,var_share,wald_z,cov_mp_share,var_mp_share,covid_ss_share,curva_share,top_blocks
cheia_p4,1,0.3760682370637829,6.068215395392657,0.20356301647687772,0.10554080348851967,0.24356540780485847,0.10053255519985056,"acoes 0.14, cambio 0.12, industria 0.12"
cheia_p4,2,0.32699388689804343,0.1220284131917212,0.04884177491508503,0.3670806193264087,0.3196774189462486,0.08938612002215188,"industria 0.23, trabalho 0.19, curva 0.09"
cheia_p4,3,0.14862726711021654,0.7729795434499809,-0.011440481459769333,0.00630125324472595,0.07380603578990798,0.0029799588551197493,"precos 0.64, cambio 0.10, monetario 0.04"
cheia_p4,4,0.0860369435956978,4.2243494068408785,0.3891674892190224,0.29126004075643713,0.1752802972242913,0.13066315974361076,"acoes 0.34, curva 0.13, expectativas 0.11"
cheia_p4,5,0.062273665332259406,5.876206494439172,0.36986820084878413,0.22981728318390854,0.09437050083242811,0.13443071513051172,"monetario 0.25, trabalho 0.23, curva 0.13"
pre_p4,1,0.4230851084540394,4.928215406158553,0.577697978270058,0.6002945686272222,NA,0.19484105873017632,"curva 0.19, cambio 0.16, acoes 0.11"
pre_p4,2,0.24737314252816636,1.888745363089467,0.03023565416190903,0.008355161203841699,NA,0.010436020213725094,"industria 0.32, trabalho 0.12, combustiveis 0.11"
pre_p4,3,0.18921884850688345,3.3353666398286332,0.3817936510288922,0.38341958627919237,NA,0.10361313982493625,"precos 0.29, expectativas 0.22, curva 0.10"
pre_p4,4,0.08466530887118358,0.71416758731597,-0.0020388225112366203,8.383731095068616e-5,NA,0.001534474371291708,"acoes 0.42, cambio 0.13, expectativas 0.08"
pre_p4,5,0.05565759163972715,0.49160621837203444,0.012311539050377435,0.007846846578793096,NA,0.007234437893651796,"credito_existente 0.31, monetario 0.25, trabalho 0.15"
pre_p2,1,0.4325556449805431,3.1899376461192652,0.5279880156269998,0.6294734096517921,NA,0.2057817728423868,"curva 0.21, cambio 0.16, acoes 0.10"
pre_p2,2,0.22955533358603333,4.339905201872887,0.17960581222101626,0.08124871163438566,NA,0.019631734784207697,"industria 0.24, precos 0.19, trabalho 0.11"
pre_p2,3,0.1947495685435028,1.982628307050286,0.2949276586039462,0.2833711413422904,NA,0.08604269746069594,"precos 0.19, expectativas 0.18, industria 0.14"
pre_p2,4,0.07598377981573119,0.07284104306672749,-0.004314885462646617,0.002971139344315216,NA,0.004447500430837019,"acoes 0.42, fiscal 0.08, cambio 0.08"
pre_p2,5,0.06715567307418958,0.03970512260384075,0.0017933990106843293,0.0029355980272166246,NA,0.0017554255156533522,"credito_existente 0.25, monetario 0.24, trabalho 0.12"
cheia_p4_lp,1,0.43351066253149934,5.684408398642219,0.4815188855697029,0.5703585445907566,0.04515588213691213,0.20664234920464303,"curva 0.21, acoes 0.17, cambio 0.14"
cheia_p4_lp,2,0.2434820244916872,3.5926769376829473,-0.038656808455754026,0.006607547569401796,0.052624771616798904,0.002795525949934155,"industria 0.24, trabalho 0.21, precos 0.20"
cheia_p4_lp,3,0.17514639273897456,0.03395479729431812,-9.250180898906286e-4,6.370836742936332e-4,0.08035822754861058,4.015761038062934e-4,"precos 0.44, cambio 0.13, industria 0.13"
cheia_p4_lp,4,0.09053156217374436,3.8195102356397626,0.32220851530081585,0.24688926823362004,0.05935214953859373,0.1187144057402903,"acoes 0.37, curva 0.12, expectativas 0.10"
cheia_p4_lp,5,0.05732935806409456,3.3228762147035837,0.2358544256751258,0.17550755593192788,0.04439391577771948,0.12943865195257087,"monetario 0.25, trabalho 0.21, curva 0.13"
