window_cell,q,variable,share_in68,share_in90,share_in90_h12,first_out90_h,cor_path,max_abs_dev,max_abs_dev_h,rel_max_abs_dev,sign_flip_h0,ratio_h0,resto_coluna_h0,share_in90_resc,denom_ratio,veredito
cheia_p4,4,cambio_eur,0.42857142857142855,0.9795918367346939,0.9230769230769231,0,0.5974423346709753,0.16587414236153503,1,1.3390112299656847,FALSE,2.255428093814031,1.4212169626108802,1,0.6301317991510595,material
cheia_p4,4,cambio_cny,0.46938775510204084,0.7142857142857143,0.38461538461538464,0,0.7997386123463794,0.023521565357984074,8,1.114002901422199,FALSE,2.0092178813772525,1.2660720784787283,1,0.6301317991510595,material
cheia_p4,4,cambio_ars,0.2857142857142857,0.5714285714285714,0.5384615384615384,7,0.8899049468837468,0.006737810617803245,17,0.967251844667855,FALSE,1.6263002022835649,1.0247834724246747,0.7551020408163265,0.6301317991510595,material
cheia_p4,4,cambio_inr,0.5306122448979592,0.7959183673469388,0.46153846153846156,0,0.7546077609195828,0.0019292426381430927,8,1.1313237334520425,FALSE,2.0867625209796983,1.314935421745938,1,0.6301317991510595,material
cheia_p4,4,cambio_usd,0.4897959183673469,0.7551020408163265,0.46153846153846156,0,0.8125809424688876,0.15507544046733227,1,1.0629607336144555,FALSE,1.9896046460604229,1.2537131552213612,1,0.6301317991510595,material
cheia_p4,4,juros_selic,0.2857142857142857,0.6530612244897959,0.8461538461538461,0,0.6836412684589245,0.7050137560047017,26,1.2094963677676938,FALSE,0.5532726171589893,0.3486346696714093,0.9387755102040817,0.6301317991510595,material
cheia_p4,4,yield_3m,0.2857142857142857,0.6326530612244898,0.9230769230769231,0,0.7610236158414059,0.009269252507796472,24,1.2091402462207959,FALSE,0.8535082117290532,0.5378226650470318,0.9387755102040817,0.6301317991510595,material
cheia_p4,4,yield_6m,0.3469387755102041,0.6326530612244898,1,13,0.795799347028723,0.010952912878210444,23,1.209635218864896,FALSE,1,0.6301317991510595,0.8775510204081632,0.6301317991510595,material
cheia_p4,4,yield_1y,0.32653061224489793,0.5714285714285714,0.7692307692307693,0,0.8236710542076984,0.012474439461499554,22,1.2130946444975257,FALSE,1.1465571431478416,0.7224821154412484,0.8367346938775511,0.6301317991510595,material
cheia_p4,4,yield_2y,0.2857142857142857,0.5714285714285714,0.6923076923076923,9,0.843145531859675,0.012693591700053299,21,1.221755136837746,FALSE,1.2771523599302164,0.8047743143528489,0.8163265306122449,0.6301317991510595,material
cheia_p4,4,yield_5y,0.2653061224489796,0.5714285714285714,0.6153846153846154,8,0.860496192973052,0.010597230101086156,20,1.1968619921023653,FALSE,1.3959479226524143,0.8796311760221499,0.7551020408163265,0.6301317991510595,material
cheia_p4,4,yield_10y,0.2653061224489796,0.5510204081632653,0.5384615384615384,7,0.8650259232234339,0.009165745663181504,19,1.1825112591718319,FALSE,1.4286449764299496,0.9002346293459272,0.7551020408163265,0.6301317991510595,material
cheia_p4,4,base_monetary_base,0.22448979591836735,0.7755102040816326,0.6923076923076923,0,0.2347833901077115,2.324017296601788,3,1.1676760374230564,TRUE,-0.4860159974631447,-0.3062541348976482,0.9387755102040817,0.6301317991510595,material
cheia_p4,4,base_money_supply,0.20408163265306123,0.9387755102040817,0.7692307692307693,0,0.06677596408741947,2.0169217997850097,4,1.4603111704768106,TRUE,-2.46288193345607,-1.5519402238253135,0.9591836734693877,0.6301317991510595,material
cheia_p4,4,base_demand_deposit,0.22448979591836735,0.7959183673469388,0.23076923076923078,0,0.036127531943917324,2.3064195571581347,4,1.4089638669065265,TRUE,-3.8072785673671556,-2.3990872935243344,0.9183673469387755,0.6301317991510595,material
cheia_p4,4,base_savings_deposit,0.20408163265306123,0.8979591836734694,0.6153846153846154,0,0.06775200285762853,0.989272294453547,4,1.3898181943134849,TRUE,-2.345556887618328,-1.4780099816060965,0.9591836734693877,0.6301317991510595,material
cheia_p4,4,base_m1,0.20408163265306123,0.8979591836734694,0.6153846153846154,0,0.0714556611870613,2.0166247132555992,4,1.4041875620971154,TRUE,-3.068858265409003,-1.933785180121775,0.9591836734693877,0.6301317991510595,material
cheia_p4,4,base_m2,0.2653061224489796,0.9387755102040817,0.7692307692307693,0,0.11277928200177348,0.9750827476000312,4,1.7433781521839171,FALSE,4.8517665202404805,3.0572523664600095,0.9795918367346939,0.6301317991510595,material
cheia_p4,4,base_m3,0.20408163265306123,0.7142857142857143,0.6153846153846154,0,0.3075985730436068,0.3325749055198224,4,1.0694629976372731,FALSE,0.4792692965279071,0.30200282409899276,0.9183673469387755,0.6301317991510595,material
cheia_p4,4,credito_agro,0.2653061224489796,0.5510204081632653,0.46153846153846156,6,0.861739205259002,1.3336463632956153,18,1.257864906485586,FALSE,1.48960156879486,0.9386453165629459,0.7346938775510204,0.6301317991510595,material
