sample,r,q,p,instrument,mp_var,response_var,theory_sign,tier,score_h,h0,h6,h12,h24,peak_h,peak_val,sign_at_score_h,consistent,mechanical
full,5,4,6,z_bruto,yield_3m,yield_6m,1,hard,0,0.007479555693225392,0.010580978653416532,0.011148727959978996,0.008782051213421778,16,0.01158338010162773,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_3m,yield_2y,1,hard,0,0.01312119192094351,0.015210865620751926,0.013178390153855728,0.006959954499740042,6,0.015210865620751926,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_3m,yield_5y,1,hard,0,0.01481540392737196,0.014327299843603272,0.01136418392546213,0.004589291307439128,1,0.016052573819649606,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_3m,asset_ibov,-1,hard,0,-0.015349405291215392,0.018562346856659927,0.01986855102062829,0.021763171036353706,2,0.07450836339999752,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_3m,price_ipca,-1,ext,24,-0.21623039587072274,0.3175894247622296,0.2827001923125965,0.030061381063311094,5,0.36205813849600255,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_3m,pib,-1,ext,24,-0.19208177445625418,0.08210420494485504,0.34696261096618386,0.6272511645441403,21,0.6722391972852071,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_3m,vendas_varejo,-1,ext,24,-2.8879623875960174,0.0027929302645371672,-0.25040631487495674,-0.8236871476426687,0,-2.8879623875960174,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_3m,cambio_usd,-1,soft,0,0.404005159163008,0.30414906610072245,0.14778241544440118,-0.06961548189085597,1,0.4783550153622376,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_3m,cds_5y,-1,soft,0,7204.151953840462,5303.028082271876,3592.65666741745,550.613174392647,1,7711.45629064617,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_3m,embi_perc,-1,soft,0,0.5849685561775102,0.425818315367041,0.28309761985665205,0.02285755751260748,1,0.6234087236316782,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_6m,yield_6m,1,hard,0,0.005,0.007073266840569324,0.007452800953188276,0.005870703804890524,16,0.00774336108769093,1,TRUE,TRUE
full,5,4,6,z_bruto,yield_6m,yield_2y,1,hard,0,0.008771371227857847,0.010168294912576939,0.00880960761198159,0.0046526523668003585,6,0.010168294912576939,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_6m,yield_5y,1,hard,0,0.009903933157948817,0.00957764099315433,0.0075968308757666195,0.003067890323750032,1,0.010730967505322025,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_6m,asset_ibov,-1,hard,0,-0.010260907145272091,0.012408722936225193,0.013281905928332236,0.014548438389238616,2,0.049808014309916486,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_6m,price_ipca,-1,ext,24,-0.1445476207006343,0.21230500700054036,0.1889819421818413,0.020095699728888437,5,0.24203184877942469,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_6m,pib,-1,ext,24,-0.12844545232263416,0.05487828330572597,0.23180746976396716,0.41887569524361457,21,0.4488851962177076,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_6m,vendas_varejo,-1,ext,24,-1.9305708159989972,0.0018670428960552194,-0.1673938433948438,-0.550625719913232,0,-1.9305708159989972,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_6m,cambio_usd,-1,soft,0,0.2700729667197583,0.20332027634756802,0.09879090517251923,-0.046537177304468894,1,0.31977502072449826,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_6m,cds_5y,-1,soft,0,4815.895655650792,3545.0154392694044,2401.651123924045,368.07879837793377,1,5155.02297658591,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_6m,embi_perc,-1,soft,0,0.3910449899499682,0.2846548196390369,0.18924761808583615,0.015280023607091207,1,0.41674181542382976,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_1y,yield_6m,1,hard,0,0.0035950117032475517,0.005085695414407911,0.005358581329737271,0.0042210497769762725,16,0.0055674947465441165,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_1y,yield_2y,1,hard,0,0.006306636443535562,0.007311027842557327,0.0063341284932185065,0.0033452679419579416,6,0.007311027842557327,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_1y,yield_5y,1,hard,0,0.007120951122201496,0.006886346291978663,0.005462139181194668,0.0022058203236322567,1,0.007715590753760372,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_1y,asset_ibov,-1,hard,0,-0.007377616254637918,0.008921900835617178,0.009549721450757484,0.010460361254657758,2,0.03581207887193426,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_1y,price_ipca,-1,ext,24,-0.10393007761907366,0.1526477969649992,0.13587845876923432,0.014448855142060518,5,0.1740214657841347,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_1y,pib,-1,ext,24,-0.09236925636244564,0.03945457254626028,0.16661588474597977,0.3009956768541544,21,0.3225463447637855,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_1y,vendas_varejo,-1,ext,24,-1.3880849354929141,0.0013424082123567429,-0.12035656521121028,-0.3959011814394355,0,-1.3880849354929141,-1,TRUE,FALSE
full,5,4,6,z_bruto,yield_1y,cambio_usd,-1,soft,0,0.19418309521766353,0.14618775459540667,0.07103089205392514,-0.033460339409134406,1,0.22991898838215988,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_1y,cds_5y,-1,soft,0,3462.6402487367277,2548.8743984733537,1726.7927795249157,264.64951757719354,1,3706.4735862672756,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_1y,embi_perc,-1,soft,0,0.28116226307329145,0.2046674815976317,0.13606948036606079,0.010986372738678352,1,0.2996383407362598,1,FALSE,FALSE
full,5,4,6,z_bruto,yield_2y,yield_6m,1,hard,0,0.002850181499626886,0.004032018858183,0.004248367079435769,0.0033465142748976278,16,0.004413996903413482,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_2y,yield_2y,1,hard,0,0.005,0.005796297208515396,0.005021796126928424,0.002652180740009925,6,0.005796297208515396,1,TRUE,TRUE
full,5,4,6,z_bruto,yield_2y,yield_5y,1,hard,0,0.0056456014120654,0.005459603033751309,0.004330469363580867,0.0017488088487273357,1,0.006117041011353222,1,TRUE,FALSE
full,5,4,6,z_bruto,yield_2y,asset_ibov,-1,hard,0,-0.005849089542968767,0.007073422509364971,0.00757116851134344,0.008293137989093896,2,0.028392376183855036,-1,TRUE,FALSE
