var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
yield_3m,0,0.0032250364803341415,0.002317063973741766,0.003704920026026468,0.0017755303186603813,0.004007624891141433,1,TRUE,TRUE
yield_3m,1,0.003772067345934549,0.0023982987867338973,0.004460498292090067,0.001472816014471814,0.004924322940554611,1,TRUE,TRUE
yield_3m,2,0.00403217725252749,0.001512708144457368,0.004426180542580306,-9.775792604257661e-5,0.005283000311003478,1,TRUE,FALSE
yield_3m,3,0.0045342577448636645,0.001194426233620374,0.005041739723433806,-6.715182715686528e-4,0.0062902575204172835,1,TRUE,FALSE
yield_3m,4,0.004287897546977103,8.494383424703509e-6,0.004770213102758068,-0.002515245501901079,0.006369845176546354,1,TRUE,FALSE
yield_3m,5,0.004308021466636693,-3.757814038286898e-4,0.004892396627681582,-0.0034084124823055145,0.006754872473750355,1,FALSE,FALSE
yield_3m,6,0.004288161720562932,-4.078329627497274e-4,0.005320437050544079,-0.003613243385733063,0.007116079938176547,1,FALSE,FALSE
yield_3m,7,0.003732855842191328,-0.0013329547157378,0.005102387566663368,-0.004868113819792324,0.006993876246766911,1,FALSE,FALSE
yield_3m,8,0.0031587141429060984,-0.0020820184576166327,0.00493751891528376,-0.005802887147997174,0.006990149212447004,1,FALSE,FALSE
yield_3m,9,0.002568428413661169,-0.0024692178704175953,0.004553874399237861,-0.006573884630527497,0.007016924621483146,1,FALSE,FALSE
yield_3m,10,0.0019339245875331715,-0.0031844612171447934,0.00430032703207413,-0.006817711103299229,0.00695803014270122,1,FALSE,FALSE
yield_3m,11,0.0013262652023801412,-0.003700455867828799,0.004331986589683235,-0.007491451528075138,0.00723510458447571,1,FALSE,FALSE
yield_3m,12,7.525167580844036e-4,-0.003967115760295085,0.004323918816199354,-0.008038652822122907,0.007471568123970942,1,FALSE,FALSE
yield_3m,13,1.6946820821705467e-4,-0.004378275246058689,0.004164165693723308,-0.008572257581171201,0.007749111985510031,1,FALSE,FALSE
yield_3m,14,-4.0414878484520993e-4,-0.0048695774762068725,0.003974420996862626,-0.009820478309489244,0.007386448254912865,-1,FALSE,FALSE
yield_3m,15,-8.990780686765061e-4,-0.005271564651955466,0.003980946803904904,-0.010225669391863321,0.007668375217298566,-1,FALSE,FALSE
yield_3m,16,-0.0013104394594684338,-0.005512811851301603,0.004169528689097641,-0.010941221665871288,0.00738326255363716,-1,FALSE,FALSE
yield_3m,17,-0.001719620356402343,-0.006153759682368874,0.004219246606693559,-0.011583346059804307,0.007891945272332104,-1,FALSE,FALSE
yield_3m,18,-0.002085549236897468,-0.006692953957085837,0.0040256933530770506,-0.01192996456985762,0.00772793245093085,-1,FALSE,FALSE
yield_3m,19,-0.0023885156450297704,-0.007215300306383654,0.00390935855764068,-0.012520023848738678,0.008023194737239676,-1,FALSE,FALSE
yield_3m,20,-0.0026944728523015126,-0.007501304324341352,0.003787102442163662,-0.013153833260834004,0.007755284859342995,-1,FALSE,FALSE
yield_3m,21,-0.0029753928380406663,-0.007713055957980686,0.00356464056760015,-0.013664615029295227,0.007637472633153455,-1,FALSE,FALSE
